,C1,C2,C3,C4,C5,C6,C7
heart_rate,0.015298571277304511,0.015952674453542655,0.042989889200248294,0.8271441857308609,0.839858042944058,1.0019750422603182,1.002004008016032
speed,0.03589295957830172,0.0404039930955365,0.5887495524172897,0.6021422959547775,0.9534535504205913,1.0019805934087753,1.002004008016032
jump_height,0.00014796836734373679,0.44647863417349964,0.4575319821713146,0.5749404958856777,0.6885929374561184,1.0019735867121613,1.0020040080160308
endurance,4.89291925174058e-05,0.19050292942496042,0.5755591166777699,0.578333218891011,1.0006444803127565,1.0018962084357006,1.0020040080160297
strength,0.8798271445149982,0.886703716344255,0.8944126652654922,0.8945258764859191,0.898162463940286,0.9016109146227999,1.0020040080160313
player_efficiency,0.0027082671808133555,0.48058187670578145,0.5284921231253942,0.6297209311465889,0.6495325328878265,1.00001248519513,1.002004008016031
training_effectiveness,0.882265159620719,0.883843861447492,0.8918500028056,0.8955669835861912,0.9012800085783818,0.9013854371615437,1.0020040080160308
