,C1,C2,C3,C4,C5,C6,C7
heart_rate,-0.12368739336449981,0.02557544088062109,0.16442996912578206,0.8855248706448694,-0.11275574137575907,-0.4026375532861536,-0.005381984365800348
speed,-0.18945437334171444,-0.0671642279583022,0.7405035849486167,-0.11572702163923466,-0.5927151545774866,0.22028854484104257,-0.004838864252769989
jump_height,-0.012164224896956517,0.6680798349045988,-0.1051349038037081,-0.3426492575715919,-0.337123777818238,-0.5598041168623565,-0.005515551093902769
endurance,0.00699494049420049,0.43641035761361463,0.6205289576263219,-0.05266974666011782,0.6498548002606009,-0.03537976996736909,-0.010382657671767147
strength,0.9379910151568608,-0.08292509770423452,0.08780062027820318,0.010640076147604333,-0.06030412468784315,-0.05872351047505483,-0.31684869163881896
player_efficiency,0.0520410144099186,0.691284029560186,-0.21888409357377425,0.31816474980926895,-0.14075369174994162,0.5920134730792057,-0.04462648116198655
training_effectiveness,0.9392897101643981,0.0397328809271735,0.0894770437492653,0.06096704667762084,-0.07558455524900924,0.010267842186262971,0.31720430459640225
